 TITLE= "tecplot results" 
  VARIABLES = "X"  "Y"  "Z" "U"  "V" "W" "pres" "dens" "mass"  "visc"  
 ZONE 
     STRANDID=1, SOLUTIONTIME= 62    
I=   1800 , J=1, K=1, F=POINT 
      0.046      0.000      0.010      0.093      0.000      0.004   1800.777   1001.801      0.100      0.000
      0.058      0.000      0.013      0.112      0.000     -0.008   1645.399   1001.645      0.100      0.000
      0.050      0.000      0.019      0.089      0.000     -0.011   1488.560   1001.489      0.100      0.000
      0.040      0.000      0.022      0.052      0.000     -0.030   1271.811   1001.272      0.100      0.000
      0.049      0.000      0.028      0.062      0.000     -0.029   1435.385   1001.435      0.100      0.000
      0.039      0.000      0.032      0.039      0.000     -0.047   1172.838   1001.173      0.100      0.000
      0.048      0.000      0.038      0.052      0.000     -0.051   1428.870   1001.429      0.100      0.000
      0.038      0.000      0.043      0.032      0.000     -0.066   1183.901   1001.184      0.100      0.000
      0.046      0.000      0.049      0.073      0.000     -0.069   1206.846   1001.207      0.100      0.000
      0.038      0.000      0.054      0.003      0.000     -0.086   1154.100   1001.154      0.100      0.000
      0.042      0.000      0.061      0.094      0.000     -0.101    894.525   1000.895      0.100      0.000
      0.040      0.000      0.067      0.026      0.000     -0.112    957.903   1000.958      0.100      0.000
      0.040      0.000      0.074      0.057      0.000     -0.116    832.469   1000.832      0.100      0.000
      0.040      0.000      0.080      0.048      0.000     -0.123    805.604   1000.806      0.100      0.000
      0.039      0.000      0.087      0.050      0.000     -0.128    750.482   1000.750      0.100      0.000
      0.039      0.000      0.093      0.049      0.000     -0.133    695.236   1000.695      0.100      0.000
      0.039      0.000      0.100      0.049      0.000     -0.138    641.587   1000.642      0.100      0.000
      0.039      0.000      0.106      0.049      0.000     -0.143    598.337   1000.598      0.100      0.000
      0.038      0.000      0.113      0.049      0.000     -0.148    532.490   1000.532      0.100      0.000
      0.038      0.000      0.120      0.048      0.000     -0.153    485.427   1000.485      0.100      0.000
      0.038      0.000      0.126      0.047      0.000     -0.158    455.277   1000.455      0.100      0.000
      0.037      0.000      0.133      0.046      0.000     -0.164    356.320   1000.356      0.100      0.000
      0.037      0.000      0.139      0.045      0.000     -0.170    331.021   1000.331      0.100      0.000
      0.037      0.000      0.146      0.043      0.000     -0.174    335.495   1000.335      0.100      0.000
      0.036      0.000      0.153      0.042      0.000     -0.183    136.798   1000.137      0.100      0.000
      0.036      0.000      0.159      0.040      0.000     -0.189    194.538   1000.195      0.100      0.000
      0.036      0.000      0.167      0.039      0.000     -0.191    258.303   1000.258      0.100      0.000
      0.035      0.000      0.173      0.035      0.000     -0.206   -196.387    999.804      0.100      0.000
      0.035      0.000      0.178      0.035      0.000     -0.213     95.414   1000.095      0.100      0.000
      0.080      0.000      0.003      0.134      0.000      0.001   1586.136   1001.586      0.100      0.000
      0.067      0.000      0.007      0.110      0.000     -0.007   2035.229   1002.035      0.100      0.000
      0.074      0.000      0.013      0.126      0.000     -0.016   1960.474   1001.960      0.100      0.000
      0.072      0.000      0.022      0.110      0.000     -0.018   1219.953   1001.220      0.100      0.000
      0.061      0.000      0.022      0.102      0.000     -0.017   1443.575   1001.444      0.100      0.000
      0.069      0.000      0.030      0.098      0.000     -0.023   1487.982   1001.488      0.100      0.000
      0.058      0.000      0.032      0.077      0.000     -0.039   1290.797   1001.291      0.100      0.000
      0.066      0.000      0.040      0.092      0.000     -0.041   1414.591   1001.415      0.100      0.000
      0.056      0.000      0.043      0.068      0.000     -0.063   1163.759   1001.164      0.100      0.000
      0.063      0.000      0.050      0.122      0.000     -0.065   1210.616   1001.211      0.100      0.000
      0.055      0.000      0.055      0.042      0.000     -0.094   1201.130   1001.201      0.100      0.000
      0.058      0.000      0.062      0.122      0.000     -0.095    927.154   1000.927      0.100      0.000
      0.055      0.000      0.068      0.048      0.000     -0.112    906.245   1000.906      0.100      0.000
      0.056      0.000      0.074      0.076      0.000     -0.117    870.823   1000.871      0.100      0.000
      0.055      0.000      0.081      0.062      0.000     -0.123    811.688   1000.812      0.100      0.000
      0.055      0.000      0.087      0.065      0.000     -0.128    755.710   1000.756      0.100      0.000
      0.054      0.000      0.094      0.063      0.000     -0.133    705.711   1000.706      0.100      0.000
      0.054      0.000      0.101      0.063      0.000     -0.139    652.249   1000.652      0.100      0.000
      0.054      0.000      0.107      0.062      0.000     -0.144    606.612   1000.607      0.100      0.000
      0.053      0.000      0.114      0.062      0.000     -0.149    541.522   1000.542      0.100      0.000
      0.053      0.000      0.120      0.061      0.000     -0.154    496.639   1000.497      0.100      0.000
      0.053      0.000      0.127      0.061      0.000     -0.159    463.383   1000.463      0.100      0.000
      0.052      0.000      0.134      0.059      0.000     -0.166    362.753   1000.363      0.100      0.000
      0.052      0.000      0.140      0.059      0.000     -0.171    345.229   1000.345      0.100      0.000
      0.052      0.000      0.147      0.057      0.000     -0.175    339.963   1000.340      0.100      0.000
      0.051      0.000      0.153      0.056      0.000     -0.184    133.397   1000.133      0.100      0.000
      0.051      0.000      0.160      0.056      0.000     -0.189    213.456   1000.213      0.100      0.000
      0.051      0.000      0.167      0.054      0.000     -0.191    273.645   1000.274      0.100      0.000
      0.051      0.000      0.173      0.055      0.000     -0.206   -211.294    999.789      0.100      0.000
      0.050      0.000      0.178      0.054      0.000     -0.213     95.885   1000.096      0.100      0.000
      0.101      0.000      0.004      0.176      0.000     -0.001   1690.713   1001.691      0.100      0.000
      0.091      0.000      0.008      0.148      0.000     -0.011   1951.550   1001.952      0.100      0.000
      0.085      0.000      0.015      0.128      0.000     -0.014   1760.661   1001.761      0.100      0.000
      0.094      0.000      0.021      0.140      0.000     -0.023   1191.551   1001.192      0.100      0.000
      0.083      0.000      0.025      0.123      0.000     -0.026   1246.187   1001.246      0.100      0.000
      0.091      0.000      0.031      0.139      0.000     -0.039   1447.692   1001.448      0.100      0.000
      0.079      0.000      0.033      0.113      0.000     -0.038   1487.437   1001.487      0.100      0.000
      0.085      0.000      0.040      0.138      0.000     -0.049   1263.287   1001.263      0.100      0.000
      0.075      0.000      0.044      0.114      0.000     -0.065   1179.030   1001.179      0.100      0.000
      0.079      0.000      0.051      0.171      0.000     -0.064   1156.690   1001.157      0.100      0.000
      0.071      0.000      0.056      0.079      0.000     -0.100   1201.521   1001.202      0.100      0.000
      0.073      0.000      0.063      0.134      0.000     -0.091    890.282   1000.890      0.100      0.000
      0.071      0.000      0.069      0.070      0.000     -0.107    928.538   1000.929      0.100      0.000
      0.071      0.000      0.076      0.090      0.000     -0.110    872.428   1000.872      0.100      0.000
      0.070      0.000      0.082      0.077      0.000     -0.116    798.559   1000.799      0.100      0.000
      0.070      0.000      0.089      0.079      0.000     -0.121    760.496   1000.760      0.100      0.000
      0.070      0.000      0.095      0.077      0.000     -0.126    703.366   1000.703      0.100      0.000
      0.069      0.000      0.101      0.077      0.000     -0.132    649.578   1000.650      0.100      0.000
      0.069      0.000      0.108      0.077      0.000     -0.137    603.354   1000.603      0.100      0.000
      0.069      0.000      0.114      0.076      0.000     -0.143    535.248   1000.535      0.100      0.000
      0.068      0.000      0.121      0.076      0.000     -0.149    492.051   1000.492      0.100      0.000
      0.068      0.000      0.127      0.075      0.000     -0.154    456.065   1000.456      0.100      0.000
      0.068      0.000      0.134      0.075      0.000     -0.162    349.827   1000.350      0.100      0.000
      0.067      0.000      0.140      0.074      0.000     -0.168    341.831   1000.342      0.100      0.000
      0.067      0.000      0.147      0.074      0.000     -0.172    328.121   1000.328      0.100      0.000
      0.066      0.000      0.154      0.073      0.000     -0.183    119.605   1000.120      0.100      0.000
      0.066      0.000      0.160      0.072      0.000     -0.188    217.696   1000.218      0.100      0.000
      0.066      0.000      0.167      0.072      0.000     -0.191    245.571   1000.246      0.100      0.000
      0.066      0.000      0.173      0.071      0.000     -0.206   -192.576    999.807      0.100      0.000
      0.065      0.000      0.178      0.072      0.000     -0.213     93.073   1000.093      0.100      0.000
      0.116      0.000      0.004      0.195      0.000     -0.004   1629.993   1001.630      0.100      0.000
      0.110      0.000      0.010      0.188      0.000     -0.008   1545.830   1001.546      0.100      0.000
      0.101      0.000      0.014      0.145      0.000     -0.027   1869.057   1001.869      0.100      0.000
      0.115      0.000      0.020      0.189      0.000     -0.030   1499.643   1001.500      0.100      0.000
      0.105      0.000      0.023      0.172      0.000     -0.048   1406.531   1001.407      0.100      0.000
      0.112      0.000      0.030      0.190      0.000     -0.051   1255.313   1001.255      0.100      0.000
